Name,THC
Auto Mokum's Tulip,15-20%
Auto Kerosene Krash,15-20%
Viuda Blanca CBD,9%
Aktombe Auto,8-10%
Superior Apollo Black Cherry Auto,14-22%
Humboldt x Seedstockers Blue Moby Auto,14 -22%
Humboldt x Seedstockers Mack & Crack Reg.,14 -22%
L.A. Vanilla Cake Auto,17 - 20%
Critical Jack Auto,12 - 15%
Moby Dick Auto (Silent Seeds),15 - 22%
Royal THCV,7%
Royal Skywalker,25%
Strawberry Banana (Big Head Seeds),20 - 25%
Starfire OG,24 - 28%
All Gas Auto,21%
Hindu Kush Auto,15-20%
C5 Haze x Kali China,15.5%
Auto Pineapple Express #2,15-20%
Hyperion F1 Auto,Sehr hoch
Kush Mintz FAST,25%
"Lost Pearl,""20,50%"""
"Chemical Bride,""23,15%"""
Auto Oh My Gusher,15-20%
Hardcore Zoap,24% – 28%
Blue Dream Auto,16 - 26%
Strawberry Chamdawg OG,20-25%
Jammy Auto,17 - 19 %
Mango Bubble Cloud Auto,16 - 18 %
Little Stilton Auto reg.,12 %
Gorilla Banana,21-24%
Nicole Kush (Growers Choice),21-25%
Critical + Auto,14-16%
Somango XXL Auto (Nirvana Seeds),16% - 18%
Original Glue Auto (Nirvana Seeds),17% - 22%
Lithium OG Kush Reg.,16% - 19%
Girl Scout Cookies Auto (Spliff Seed),25 %
"Sugarlato Auto,""21,00%"""
Jack-Matic,High (15% – 20%)
Mango Chutney Auto,17-19%
McFly,18 – 22 %
Sunset Sherbet,15-19 %
K1 (KALITÉ TIZANE),20-30%
Balkh Hashplant Reg.,Variiert
Beary White Auto,Keine Daten
Aunt Ginny's Elixir CBD Auto,Keine Daten
Bear Assed Monkey Auto,Keine Daten
Livers Bx1 Auto,Hoch (16-24%)
Strawberry Nuggets Auto,Keine Daten
The Whale,25%
GMO OG Auto,Sehr hoch (25%+)
Mendo Breath,Sehr hoch (25%+)
Mendo Butter,Sehr hoch (25%+)
Mythic Cheetah FAST,Sehr Hoch (25%+)
Peanut Butter Breath FAST,20 - 28%
Peanut Butter Souffle,20 - 28%
Purple Punch (Atlas),20 - 28%
Snow Panda FAST,Bis zu 28%
Space Panda,Sehr Hoch (25%+)
Super Sour Runtz,Sehr Hoch (25%+)
TriCross Auto,16 - 26%
Turtle Taffy Auto,Sehr Hoch (25%+)
Whale Breath,20 - 28%
Diet Durban THCV 1:1,Niedrig (5-9%)
Juicy Zkittlez Auto,Hoch (16-24%)
Socrates Sour,Sehr Hoch (25%+)
Corkscrew Auto,19%
Sativa Des Rois,20-30%
Guillotine Auto,10-20 %
Auto Berry,Hoch
Royal Cheese Automatic,15%
Somango XL,18%
Crazy Miss Hyde Auto,19%
Supersonic Cristal Storm,21%
Thunder Bloody Mary,21%
Bangi Haze Reg.,15 - 20%
Amnesia Haze (Nirvana Seeds),16-20%
"Blueberry (Seedsman),""19,5%"""
China Yunnan Reg.,8.5-17.22%
Mong-U-Mental,
OG Kush Auto (Dr Krippling Seeds),
Pickled Diesel Auto,
Smokin Gun Auto,18 - 20%
Spinning Buzz Kick Auto,
White Rush Auto,16%
Chazy,19%
White Russian (Serious Seeds),Sehr Hoch
Iced Sangria,Sehr hoch (25%+)
K.O Kush,19%
Fast & Vast Auto,
High Density Auto,
Short & Sweet Auto,16%
Skunky Monkey Auto,20%
Waist Deep Auto,19%
Wipeout Express Auto,20%
Bubba Kush x PCK Reg.,17%
Auto Northern Hog,Hoch
Auto Sweet Critical,19%
Auto Top 69,14%
Auto Lavender,Mittel bis Hoch
Auto Amnesia (Seedsman),Hoch
OG Kush Auto (Seedsman),Mittel - Hoch
Crystal White,Hoch
Cinderella's,
Vision Critical Auto,
Tom Kush OG,
Gelato,18-22%
Auto Ramses,16%
Auto Afghan Mass,17%
Dr Greenman Pure CBD,1%
Northern Lights CBD,
El Patron,22%
Auto Super Skunk,18%
Girl Scout Cookies Reg. (BC Bud Depot),27%
Super Silver Haze Reg.,20 - 24%
Mango (BlimBurn Seeds),20 - 22%
Dream Queen Reg.,23%
Nepal Annapurna Reg.,23 - 28%
Auto Bigger Bud,15-19%
Critical Mass CBD,8%
White Sirius,18%
"Super Pineapple Haze,""17,80%"""
Chemdawg #4,20 - 25 %
Medical Cheese,Niedrig
Girl Scout Cookies Auto (Lineage Genetics),20%
Northern Lights (Expert Seeds),19%
Crystal Runtz,22 - 27 %
"CBDV 1:1 Auto,""<0,3%"""
CBG Relief Auto,0-5%
Strawberry Cheesecake Auto (Seedsman),10-15%
White Widow Auto (Seedsman),15-20%
Black Sugar,20 +%
Gelat.OG,25%
Gorilla Cookies Auto (Big Head Seeds),25 %
Monsterbud Auto,15 - 20%
Top Gun Auto,16-26%
Lime Ozz,Hoch
Jack Attack Auto,17-20%
Superior Apollo Black Cherry,14-22%
Amnesia Lemon,17 - 22%
Blue Gelato,22%
Garlic Jam Auto,Sehr Hoch (25%+)
Stromboli Auto,20 - 24%
CBDenergy,0.6%
CBDrelax,0.4%
Emerald Fire OG Auto,23-28%
Triton Biscotto Lime Auto,14-22%
Auto CBD-Victory,Niedrig
"Cosmos F1 CBD Auto,""0,5%"""
Tezla OG,Mittel - Hoch
Peanut Butter OGKB Fast,25%
Sweet Zenzation XL Auto,17-24%
Red Gorilla Girl XL Auto,15-21%
Blue Dream FAST,20 - 28%
Mimosa (00 Seeds),22%
Banana Cream Jealousy,20 - 28%
GoldenHaze,25+%
Cherry Pie,18-25%
Jumping Jack Dash Auto,17 - 19 %
Chunky Skunk,21 %
Fully Loaded Auto,20%
Amnesia Dream XL Auto Edition,18 %
"Nori Cake,""25,30%"""
CBD Spliff Berry,7.60%
"Auto Harlequin (0,3/13),""0,2 - 0,4 %"""
Original Glue Reg.,17-22 %
Cheese XXL,22%
Jealousy Auto,20 %
Auto Douce Nuit,10-20%
Kikiriki Reg.,10-20 %
Zkittly Zi Zi,24 %
3 Bears OG Auto,Keine Daten
3Wok OG Auto,Keine Daten
Forgotten Strawberries Auto,Keine Daten
Forum Stomper Auto,Keine Daten
Tropical Cooler,16 - 26%
Dynamite Diesel,22%
Punch Pie,22%
GOAT'lato Auto,20%
Blue Cheese,20%
Amajikoym,19%
Space,
Northern Lights x Big Bud Auto,17-20%
"Mikromachine Auto,""14,70%"""
Critical 47 Express,18.00%
El Alquimista,21%
Green love potion,
Holy grail 69,21%
"Indica Cream,""15,07%"""
Green Ninja,
Jackpot Auto,19%
King’s Kush Auto CBD,5 - 8%
Massive Midget Auto,18%
Strawberry Cake,22%
Mazar x White Rhino,
Killer A5 Haze,23 - 30%
Auto Critical Soma,14%
Auto Kaya 47,18%
Skunk 47 (Advanced Seeds),
Auto Northern,Mittel bis Hoch
Auto CBD Star,
Auto New York City CBD,7%
Sherbet Queen,
O.G. Kush (Seedstockers),Hoch
Santa Marta Haze,Hoch
Jack Herer Fast,15-20%
Peyote Gorilla,22-26%
Silver Buddha Haze,Hoch
La Blanca Gold Auto,
Vision Gorilla Auto,Hoch
Vision Cookies,20%
White Gorilla Haze,Hoch
Sweet Zenzation aka Zkittlez,16 - 23%
"Harlequin CBD (00 Seeds),""0,5%"""
Gorilla × Lilly,25%
Trippy Gorilla Auto,25 - 28 %
Purple Punch Auto (Seedstockers),Medium
Jack Herer Auto (Seedsman),15-20%
Cream & Cheese CBD 1:1,22%
Fuel D.OG,20% oder mehr
Romberry,22%
Snow Bud,Mittel
Moby Dick (Silent Seeds),17 - 22%
"King’s Juice Auto,""22,10%"""
CBDelight,0.6%
Grape Juice,18 - 23%
L.A. Vanilla Cake,20-25%
78 Tenzin #4 reg.,16 - 24%
Ice Auto,15-20%
Caramba,24%
Purple Punch Automatic,19%
Peanut Butter OGKB,28%
Sweet Valley Kush,22.39%
Red Mimosa XL Auto,19-24%
Runtz XL Auto,17-25%
Biscotti (Royal Queen Seeds),25%
Gushers,24%
Sundae Driver,23%
Critical Gorilla,22% - Hoch
Nurse Lilly CBD,4-7%
Aladdin’s Kush,Hoch
Zkittlez 36 Auto,28%
"Milky Dreams,""25,00 %"""
GG-48 Auto,26%
Gelato Auto (Nirvana Seeds),Hoch (18% - 22%)
Girl Scout Cookies Auto (Nirvana Seeds),Hoch (16% - 21%)
Super Skunk Auto (Nirvana Seeds),14-18%
Orange Bud Reg. (Nirvana Seeds),10% - 15%
Auto Bus 13,15 – 18 %
Forgotten Cookies Auto,Hoch (16-24%)
S.O.D.K Auto,Keine Daten
Oaxaca x Panama Reg.,20%
Auto Rainbow Mints,23%
Super Panama Haze Reg.,21.13%
Cherry Pie Auto,Hoch (16-24%)
Strawberry Blue,
K-2,18-25%
Royal AK,19%
Sweet Black Angel,18%
Sugar Haze Reg.,23%
Warlock,Hoch
Super Skunk Auto (Dr Krippling Seeds),
"Champion,""19,5%"""
Turbo Bud Auto,18%
Ethiopia x Malawi Reg.,14 - 20%
Auto Biodiesel Mass,17%
HiFi 4G,20%
Auto Northern Lights (Ministry of Cannabis),15%
Cookies and Cream,
Gelato 41,20%
"Purple Bud Reg.,""18,3%"""
Auto Desfran,19%
Green Mango,Hoch
Doctor Jamaica,15%
Auto Chocolate Skunk,17%
Girl Scout Cookies Auto (Seedstockers),20%
Colombian Gold Ryder,
Strawberry Blue Early Harvest,
Auto Ghost Cookies,20%
Turing Auto,16%
Amnesia Auto (Lineage Genetics),21%
Cali Bay Dream,25%
Blueberry Cookies Auto (Original Sensible Seeds),20%
Green Crack Auto,15-20%
Northern Lights Auto (Seedsman),23%
Grandaddy Purple (Big Head Seeds),20 - 23 %
Amnesia Haze Auto,16 - 20%
Hash Lover,19%
Critical+ 2.0 Auto,15 - 20%
OG Kush (Silent Seeds),22 - 26%
Tropicanna Poison XL Auto,16 - 24%
Lemonade Auto,20 - 24%
Zkittlez 2.0,17 - 22%
Banana Glukies,22 - 26%
Cristal Limit reg.,20%
Purple Punch OG XL Auto,18-22%
Auto SFV OG,20-30%
Sweet Mandarine Zkittlez F1 Fast Version,19-24%
Steve’s Alien OG,22-28%
Cheesedom,21%
White Sirius reg.,18%
Kera Cheese Auto,16.00%
"Highcloudz,""25,12 %"""
Girl Scout Cookies (Barney’s Farm),25-28%
Jealousy,30%
Gary Payton,Über 25%
Rucu Cucu OG Auto,23 - 26 %
Auto Strawberry Cream,16 – 20%
Sour Krout AUTO,Hoch (16-24%)
Panama Haze Reg.,18-23%
Thai x Panama Reg.,14-18%
Slapz,30%
Auto Amnesia XXL,14%
CBD Indica Mix,10-15%
Venice Beach Afghan,20%
Punky lion,18%
Mazar Kush,
Mazar x Great White Shark,
Jack 47 XL Auto,18 - 21%
Lemon Cake (Heavyweight Seeds),23%
Money Bush,21%
Durban Poison (Nirvana Seeds),15-20%
Auto Amnesia (Advanced Seeds),
Candy Kush,19 - 22%
Auto Olympia,15%
North Thunderfuck,22%
Crazy Miss Hyde,20 - 22%
Superior Candy Dawg Auto,Hoch
Pineapple,Hoch
Amnesia FAST,25%
Cherry Pie,Hoch
Sherbet Auto,20%
Sweet Amnesia Haze XL Auto,15-20%
Wedding Cookies,28%
Strong Stuff Auto,20%
White Gold (Expert Seeds),20%
Amnesium (Victory Seeds),23%
Larry Lemon OG Auto,15-20%
"Pineapple Cookies Auto,""20,8%"""
Auto Trichome & Cream,Hoch
Chocolate Wafflez,20 - 24%
Purple Punch Auto (Tastebudz Seeds),20%
Critical Mango,18 - 22%
Mimosa (Royal Queen Seeds),22%
Triple G Automatic,20%
CBDream,0.4%
CBDivine,0.6%
Seriosa,15 - 20%
Auto Rainbow Glue,20%
Gulupa,24%
Purple Mints,22%
Sleep Well,16-19%
Pink Rozay,33%
Skywalker OG Runtz XL Auto,18-21%
Strawberry Banana Gelato XL Auto,18-22%
Sweet Mimosa XL Auto,19-23%
Pakistan Valley Early Version,20%
Cookies Kush Auto (Barney’s Farm),20%
Gelato (Barney’s Farm),25-27%
Wedding Cake x Frosty Gelato Double XL Auto,23-26%
"Tarte Tatin,""26,00 %"""
Big Bud Auto (Nirvana Seeds),13% - 17%
Aurora Indica Auto,Mittel (14% - 17%)
Blue Dream Auto (Nirvana Seeds),Hoch (16% - 20%)
Purple Punch,22%
"Auto AC DC Cookies (0,5/15),""0,2 - 0,8 %"""
"Auto Cannatonic (0,3/20),""0,2 - 0,4 %"""
Jungle Lava Auto,25 %
Royal Moby,21%
Speedy Chile (Fast Flowering),16%
Durga Mata II CBD,5 - 9%
Ultraviolet,
Ketama,
Northern Light x Skunk,
Pakistan Valley,
White Widow (00 Seeds),19%
Royal Cookies Automatic,18%
Cookies Krush,+/- 21%
Saga,0.9%
CBD Tonic,7-10%
Pineapple Glue,
Medizinal CBD,1%
Sherbet (Seedstockers),Hoch
White Widow (Seedstockers),
Blueberry Auto (Seedsman),Mittel - Hoch
"Sir Jack Auto Pure CBD,""0,3%"""
Do Si Dos,Hoch
Auto Jack Hair,20-22%
Cali Sour Diesel,21%
Auto Creeper,20+%
Blue Dream (Seedsman),20%
Fruit Salad,21.7%
ZkittleZ Glue,23%
Banana Punch (Barney´s Farm),Hoch
Peyote Wi-Fi,20-26%
"Seedsman CBG #1,""0,25%"""
Runtz FAST,18 - 21%
Auto Mimosa Punch,Mittel - Hoch
Tangerine Sorbet,20 - 24%
Black Dog Auto,20%
Royal Runtz Automatic,19%
Gorilla Frost,25 - 28%
Dream Queen,23%
